"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logPVal","Significance","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"ENSMUSG00000027342",5613.50205228428,1.52003876755722,0.0516710392593525,29.4176155414194,3.2693080628638e-190,6.35357328936952e-186,185.196981956065,"Up-regulated","2",132091082,132095234,-1,"protein_coding","Pcna","proliferating cell nuclear antigen [Source:MGI Symbol;Acc:MGI:97503]"
"ENSMUSG00000040204",1668.41628354898,3.02858214774887,0.115871320748609,26.1374611783324,1.36848753324225e-150,1.3297593360515e-146,145.876226951877,"Up-regulated","9",65797519,65810548,1,"protein_coding","Pclaf","PCNA clamp associated factor [Source:MGI Symbol;Acc:MGI:1915276]"
"ENSMUSG00000005470",877.807379497504,2.52993771094344,0.100381145910739,25.2033157022646,3.6840650287043e-140,2.38653732559464e-136,135.622231768851,"Up-regulated","8",84682136,84696826,1,"protein_coding","Asf1b","anti-silencing function 1B histone chaperone [Source:MGI Symbol;Acc:MGI:1914179]"
"ENSMUSG00000027326",757.423500509413,2.45708272493815,0.097792548129899,25.1254596789357,2.62141706518854e-139,1.27361548112185e-135,134.894961670614,"Up-regulated","2",118877600,118935982,1,"protein_coding","Knl1","kinetochore scaffold 1 [Source:MGI Symbol;Acc:MGI:1923714]"
"ENSMUSG00000020649",2250.36807063739,2.66845809798373,0.108449117732001,24.6056229298058,1.09973166313087e-133,4.27443702825707e-130,129.369121076637,"Up-regulated","12",24758240,24764145,1,"protein_coding","Rrm2","ribonucleotide reductase M2 [Source:MGI Symbol;Acc:MGI:98181]"
"ENSMUSG00000041859",2063.88846009671,1.9978601814956,0.0861141441941187,23.2001397702104,4.53844479944703e-119,1.47000227054089e-115,114.832681994447,"Up-regulated","1",20873192,20890536,-1,"protein_coding","Mcm3","minichromosome maintenance complex component 3 [Source:MGI Symbol;Acc:MGI:101845]"
"ENSMUSG00000025395",519.060010155801,1.94222441178529,0.0864649469152323,22.4625640918902,9.64581355859947e-112,2.67795343854032e-108,107.572196978318,"Up-regulated","10",127851037,127865906,1,"protein_coding","Prim1","DNA primase, p49 subunit [Source:MGI Symbol;Acc:MGI:97757]"
"ENSMUSG00000032555",2327.37910435261,1.82444968375084,0.0816534326195708,22.343821015475,1.38660343665405e-110,3.36840639849186e-107,106.472575516348,"Up-regulated","9",103182414,103227627,1,"protein_coding","Topbp1","topoisomerase (DNA) II binding protein 1 [Source:MGI Symbol;Acc:MGI:1920018]"
"ENSMUSG00000022945",451.704211091527,2.28859504368225,0.104137228303445,21.9767232234521,4.80947549972616e-107,1.03852607624087e-103,102.983582594338,"Up-regulated","16",93680789,93703003,1,"protein_coding","Chaf1b","chromatin assembly factor 1, subunit B (p60) [Source:MGI Symbol;Acc:MGI:1314881]"
"ENSMUSG00000022673",1802.45509226811,1.725301987393,0.0797696980997657,21.6285385113932,9.68016736026701e-104,1.88124372479429e-100,99.7255549357222,"Up-regulated","16",15441761,15455264,-1,"protein_coding","Mcm4","minichromosome maintenance complex component 4 [Source:MGI Symbol;Acc:MGI:103199]"
"ENSMUSG00000021707",340.013741515019,2.6016984771225,0.122221635652758,21.2867260630854,1.50694762252177e-100,2.66236546328074e-97,96.5747323291048,"Up-regulated","13",92491234,92525561,1,"protein_coding","Dhfr","dihydrofolate reductase [Source:MGI Symbol;Acc:MGI:94890]"
"ENSMUSG00000030978",2742.60280545036,2.17379895934578,0.103062423839866,21.092061280485,9.40720860791807e-99,1.52349743405233e-95,94.8171582729003,"Up-regulated","7",102090902,102118978,1,"protein_coding","Rrm1","ribonucleotide reductase M1 [Source:MGI Symbol;Acc:MGI:98180]"
"ENSMUSG00000001228",1677.88358402035,2.65764520859941,0.128380646681244,20.701291645602,3.37210932221531e-95,5.0410440436871e-92,91.297479508107,"Up-regulated","17",56610321,56630486,1,"protein_coding","Uhrf1","ubiquitin-like, containing PHD and RING finger domains, 1 [Source:MGI Symbol;Acc:MGI:1338889]"
"ENSMUSG00000021377",3359.29715373429,1.63167382253154,0.078945915827844,20.6682487044637,6.6900020137495e-95,9.2866785096577e-92,91.0321395887901,"Up-regulated","13",47238251,47259677,-1,"protein_coding","Dek","DEK proto-oncogene (DNA binding) [Source:MGI Symbol;Acc:MGI:1926209]"
"ENSMUSG00000026238",20105.1422337913,1.09995746856193,0.0533944013674484,20.6006143039655,2.70983843629222e-94,3.5108666780602e-91,90.4545856621559,"Up-regulated","1",86454448,86458434,1,"protein_coding","Ptma","prothymosin alpha [Source:MGI Symbol;Acc:MGI:97803]"
"ENSMUSG00000028702",446.071645556938,2.67548855524026,0.130771069481103,20.4593306903167,4.96147064854411e-93,6.02632628648789e-90,89.2199473577963,"Up-regulated","4",115951461,115980887,-1,"protein_coding","Rad54l","RAD54 like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:894697]"
"ENSMUSG00000026355",2275.79141047615,2.13000427785029,0.10424107837714,20.433444386905,8.4337681246375e-93,9.64128527848266e-90,89.0158650664971,"Up-regulated","1",128259327,128287401,-1,"protein_coding","Mcm6","minichromosome maintenance complex component 6 [Source:MGI Symbol;Acc:MGI:1298227]"
"ENSMUSG00000037313",1095.47513003933,2.26473424383362,0.11196159388077,20.2277778060697,5.57598268132177e-91,6.02020263493374e-88,87.2203888905109,"Up-regulated","5",33815472,33836339,1,"protein_coding","Tacc3","transforming, acidic coiled-coil containing protein 3 [Source:MGI Symbol;Acc:MGI:1341163]"
"ENSMUSG00000028312",1943.7070722191,2.01748760295455,0.0997547346234881,20.2244796757699,5.96160208288961e-91,6.09777762520404e-88,87.2148284176072,"Up-regulated","4",52439243,52488260,1,"protein_coding","Smc2","structural maintenance of chromosomes 2 [Source:MGI Symbol;Acc:MGI:106067]"
"ENSMUSG00000005410",1484.61336544094,2.43847777933793,0.120744628590903,20.1953313186277,1.07602640840591e-90,1.04557486104803e-87,86.9806448671255,"Up-regulated","8",75836197,75855067,1,"protein_coding","Mcm5","minichromosome maintenance complex component 5 [Source:MGI Symbol;Acc:MGI:103197]"
"ENSMUSG00000024742",832.950906311463,2.01275176178575,0.100336915559629,20.0599325837318,1.65307971030881e-89,1.52980719476864e-86,85.8153633008977,"Up-regulated","19",10176496,10181533,-1,"protein_coding","Fen1","flap structure specific endonuclease 1 [Source:MGI Symbol;Acc:MGI:102779]"
"ENSMUSG00000026434",2525.49512515365,1.45475792442252,0.0729186849674385,19.9504136021122,1.48653610834498e-88,1.31315194225347e-85,84.8816850196345,"Up-regulated","1",131838272,131864059,1,"protein_coding","Nucks1","nuclear casein kinase and cyclin-dependent kinase substrate 1 [Source:MGI Symbol;Acc:MGI:1934811]"
"ENSMUSG00000012443",1380.77683722693,2.13440988286931,0.10731272192025,19.889625802759,5.00470875349527e-88,4.22876130067074e-85,84.3737868286217,"Up-regulated","19",37364851,37410307,1,"protein_coding","Kif11","kinesin family member 11 [Source:MGI Symbol;Acc:MGI:1098231]"
"ENSMUSG00000028693",1281.88686309035,1.60533311842632,0.0815796116824165,19.6781166926335,3.32116351528756e-86,2.6893121565041e-83,82.5703587849916,"Up-regulated","4",116458249,116485138,-1,"protein_coding","Nasp","nuclear autoantigenic sperm protein (histone-binding) [Source:MGI Symbol;Acc:MGI:1355328]"
"ENSMUSG00000120992",1258.24554767402,2.05407352820934,0.107750229706211,19.0632867680183,5.09700243994458e-81,3.96220581671532e-78,77.4020629687919,"Up-regulated","17",35215654,35219393,-1,"lncRNA","","novel transcript"
"ENSMUSG00000026683",656.268072764149,2.38424171158813,0.125972257010982,18.926720598332,6.87088360421577e-80,5.13572122939728e-77,76.2893985581129,"Up-regulated","1",169325503,169359033,-1,"protein_coding","Nuf2","NUF2, NDC80 kinetochore complex component [Source:MGI Symbol;Acc:MGI:1914227]"
"ENSMUSG00000002870",1508.2726577999,2.2043496393329,0.11821462862019,18.6470123457835,1.33533820641945e-77,9.61146766798356e-75,74.0172102906417,"Up-regulated","6",88860456,88875762,-1,"protein_coding","Mcm2","minichromosome maintenance complex component 2 [Source:MGI Symbol;Acc:MGI:105380]"
"ENSMUSG00000036768",840.825194442851,2.13806261860618,0.11500774004853,18.5905976215512,3.82887911471341e-77,2.65751559697644e-74,73.57552417792,"Up-regulated","9",122780111,122847798,1,"protein_coding","Kif15","kinesin family member 15 [Source:MGI Symbol;Acc:MGI:1098258]"
"ENSMUSG00000042029",1368.62860164187,1.98295429888623,0.106728283514154,18.5794639770746,4.71187949558987e-77,3.1576091764584e-74,73.5006416244896,"Up-regulated","12",116369022,116427351,1,"protein_coding","Ncapg2","non-SMC condensin II complex, subunit G2 [Source:MGI Symbol;Acc:MGI:1923294]"
"ENSMUSG00000006678",842.111909335578,1.72852853780505,0.0931049116663358,18.5653850787127,6.12463933301042e-77,3.96754135992415e-74,73.401478537215,"Up-regulated","X",92348373,92675761,-1,"protein_coding","Pola1","polymerase (DNA directed), alpha 1 [Source:MGI Symbol;Acc:MGI:99660]"
"ENSMUSG00000028873",629.148036520233,2.24390606465017,0.122176156200396,18.3661537114466,2.45183597539737e-75,1.53706388212492e-72,71.813308082352,"Up-regulated","4",124812258,124833104,-1,"protein_coding","Cdca8","cell division cycle associated 8 [Source:MGI Symbol;Acc:MGI:1196274]"
"ENSMUSG00000007080",662.405212562339,2.01479363362475,0.11031927514994,18.2632965171894,1.62196175561101e-74,9.8503764870451e-72,71.0065471702007,"Up-regulated","5",110434172,110485340,1,"protein_coding","Pole","polymerase (DNA directed), epsilon [Source:MGI Symbol;Acc:MGI:1196391]"
